# row lambda betav alpha
75 4.5999999999999996 0.5000000000000000 0.3666666666666667
76 6.4000000000000004 0.5000000000000000 0.3666666666666667
77 8.1999999999999993 0.5000000000000000 0.3666666666666667
78 10.0000000000000000 0.5000000000000000 0.3666666666666667
79 1.0000000000000000 0.7000000000000001 0.3666666666666667
80 2.7999999999999998 0.7000000000000001 0.3666666666666667
81 4.5999999999999996 0.7000000000000001 0.3666666666666667
82 6.4000000000000004 0.7000000000000001 0.3666666666666667
83 8.1999999999999993 0.7000000000000001 0.3666666666666667
84 10.0000000000000000 0.7000000000000001 0.3666666666666667
85 1.0000000000000000 0.9000000000000000 0.3666666666666667
86 2.7999999999999998 0.9000000000000000 0.3666666666666667
87 4.5999999999999996 0.9000000000000000 0.3666666666666667
88 6.4000000000000004 0.9000000000000000 0.3666666666666667
89 8.1999999999999993 0.9000000000000000 0.3666666666666667
90 10.0000000000000000 0.9000000000000000 0.3666666666666667
91 1.0000000000000000 0.1000000000000000 0.5000000000000000
92 2.7999999999999998 0.1000000000000000 0.5000000000000000
93 4.5999999999999996 0.1000000000000000 0.5000000000000000
94 6.4000000000000004 0.1000000000000000 0.5000000000000000
95 8.1999999999999993 0.1000000000000000 0.5000000000000000
96 10.0000000000000000 0.1000000000000000 0.5000000000000000
97 1.0000000000000000 0.3000000000000000 0.5000000000000000
98 2.7999999999999998 0.3000000000000000 0.5000000000000000
99 4.5999999999999996 0.3000000000000000 0.5000000000000000
100 6.4000000000000004 0.3000000000000000 0.5000000000000000
101 8.1999999999999993 0.3000000000000000 0.5000000000000000
102 10.0000000000000000 0.3000000000000000 0.5000000000000000
103 1.0000000000000000 0.5000000000000000 0.5000000000000000
104 2.7999999999999998 0.5000000000000000 0.5000000000000000
105 4.5999999999999996 0.5000000000000000 0.5000000000000000
106 6.4000000000000004 0.5000000000000000 0.5000000000000000
107 8.1999999999999993 0.5000000000000000 0.5000000000000000
108 10.0000000000000000 0.5000000000000000 0.5000000000000000
109 1.0000000000000000 0.7000000000000001 0.5000000000000000
110 2.7999999999999998 0.7000000000000001 0.5000000000000000
111 4.5999999999999996 0.7000000000000001 0.5000000000000000
112 6.4000000000000004 0.7000000000000001 0.5000000000000000
113 8.1999999999999993 0.7000000000000001 0.5000000000000000
114 10.0000000000000000 0.7000000000000001 0.5000000000000000
115 1.0000000000000000 0.9000000000000000 0.5000000000000000
116 2.7999999999999998 0.9000000000000000 0.5000000000000000
117 4.5999999999999996 0.9000000000000000 0.5000000000000000
118 6.4000000000000004 0.9000000000000000 0.5000000000000000
119 8.1999999999999993 0.9000000000000000 0.5000000000000000
120 10.0000000000000000 0.9000000000000000 0.5000000000000000
